ID,Type,Locale,Title,Slug,Description,Body,SEO Title,SEO Description,Featured Image,Featured Image Alt,CTA Blocks,OG Metadata,Additional Data
H8rzDM7imABUnWcWNGpGTq,page,ru,"Аналитика, дашборды и автоматизация для бизнеса",home,"Помогаю малому и среднему бизнесу видеть данные, принимать решения и экономить время на аналитике.","Помогаю малому и среднему бизнесу видеть данные, принимать решения и экономить время на аналитике.",,,,,,,
H8rzDM7imABUnWcWNGpGhH,page,ua,"Аналітика, дашборди та автоматизація для бізнесу",home,"Допомагаю малому та середньому бізнесу бачити дані, ухвалювати рішення та економити час на аналітиці.","Допомагаю малому та середньому бізнесу бачити дані, ухвалювати рішення та економити час на аналітиці.",,,,,,,
H8rzDM7imABUnWcWNGpMOR,page,ru,Политика конфиденциальности,privacy,Политика обработки персональных данных,Содержимое политики конфиденциальности будет добавлено позже.,,,,,,,
H8rzDM7imABUnWcWNGpMW7,page,ua,Контакти,contact,Зв'яжіться зі мною для обговорення вашої задачі,Форма зворотного зв'язку,,,,,,,
H8rzDM7imABUnWcWNGpMjY,page,ru,Кейсы,cases,Примеры работы и результаты,Реальные кейсы появятся здесь в ближайшее время.,,,,,,,
H8rzDM7imABUnWcWNGpMrE,page,ro,Cazuri,cases,Exemple de lucru și rezultate,Cazuri reale vor apărea aici în curând.,,,,,,,
UhtN6rPJaY2J3E22gNb0sY,page,ro,Politica de confidențialitate,privacy,Politica de prelucrare a datelor personale,Conținutul politicii de confidențialitate va fi adăugat mai târziu.,,,,,,,
UhtN6rPJaY2J3E22gNb16g,page,ru,Контакты,contact,Свяжитесь со мной для обсуждения вашей задачи,Форма обратной связи,,,,,,,
UhtN6rPJaY2J3E22gNb1Ko,page,ro,Contact,contact,Contactează-mă pentru a discuta sarcina ta,Formular de contact,,,,,,,
UhtN6rPJaY2J3E22gNb1UE,page,ua,Кейси,cases,Приклади роботи та результати,Реальні кейси з'являться тут найближчим часом.,,,,,,,
jtz4hoaXAenMcB4qySFus8,page,ro,"Analytics, dashboard-uri și automatizare pentru business",home,"Ajut business-urile mici și medii să vadă datele, să ia decizii și să economisească timp pe analytics.","Ajut business-urile mici și medii să vadă datele, să ia decizii și să economisească timp pe analytics.",,,,,,,
jtz4hoaXAenMcB4qySG1Pr,page,ua,Політика конфіденційності,privacy,Політика обробки персональних даних,Вміст політики конфіденційності буде додано пізніше.,,,,,,,
H8rzDM7imABUnWcWNGpH0T,service,ru,Part-time аналитик,parttime,Работаю как ваш аналитик на проектной основе или несколько часов в неделю.,,,,,,,,"{""icon"":""📊"",""order"":5,""featured"":false}"
H8rzDM7imABUnWcWNGpH89,service,ua,Аналітичний аудит,audit,"Розбираю поточну аналітику, рекламу та дані. Показую, де втрачаєте гроші і що можна покращити.",,,,,,,,"{""icon"":""📊"",""order"":1,""featured"":false}"
H8rzDM7imABUnWcWNGpHFp,service,ua,Консалтинг і навчання,consulting,"Допомагаю розібратися в аналітиці, налаштувати процеси або навчити команду роботі з даними.",,,,,,,,"{""icon"":""📊"",""order"":4,""featured"":false}"
H8rzDM7imABUnWcWNGpHTG,service,ua,Part-time аналітик,parttime,Працюю як ваш аналітик на проєктній основі або кілька годин на тиждень.,,,,,,,,"{""icon"":""📊"",""order"":5,""featured"":false}"
H8rzDM7imABUnWcWNGpHaw,service,ro,OmniDash — analytics gata pentru e-commerce,omnidash,"Reclama, vânzările și cheltuielile într-un singur dashboard. Vezi nu doar venitul, ci și profitul real.",,,,,,,,"{""icon"":""📊"",""order"":0,""featured"":true}"
H8rzDM7imABUnWcWNGpHoN,service,ro,Audit analitic,audit,"Analizez analytics-ul, reclama și datele curente. Arăt unde pierzi bani și ce poate fi îmbunătățit.",,,,,,,,"{""icon"":""📊"",""order"":1,""featured"":false}"
H8rzDM7imABUnWcWNGpI3j,service,ro,Automatizarea rapoartelor,automation,"Te scap de munca manuală: rapoarte automate în Telegram, PDF, Google Sheets sau Email.",,,,,,,,"{""icon"":""📊"",""order"":2,""featured"":false}"
UhtN6rPJaY2J3E22gNau0K,service,ru,Аналитический аудит,audit,"Разбираю текущую аналитику, рекламу и данные. Показываю, где теряете деньги и что можно улучшить.",,,,,,,,"{""icon"":""📊"",""order"":1,""featured"":false}"
UhtN6rPJaY2J3E22gNau9k,service,ru,Автоматизация отчётов,automation,"Избавляю от ручной работы: автоматические отчёты в Telegram, PDF, Google Sheets или Email.",,,,,,,,"{""icon"":""📊"",""order"":2,""featured"":false}"
UhtN6rPJaY2J3E22gNaueM,service,ua,OmniDash — готова аналітика для e-commerce,omnidash,"Реклама, продажі та витрати в одному дашборді. Бачите не лише виручку, а й реальний прибуток.",,,,,,,,"{""icon"":""📊"",""order"":0,""featured"":true}"
UhtN6rPJaY2J3E22gNauuq,service,ua,Автоматизація звітів,automation,"Позбавляю від ручної роботи: автоматичні звіти в Telegram, PDF, Google Sheets або Email.",,,,,,,,"{""icon"":""📊"",""order"":2,""featured"":false}"
UhtN6rPJaY2J3E22gNav4G,service,ua,Дашборди на замовлення,dashboards,"Збираю кастомні дашборди під вашу бізнес-модель: Power BI, Looker Studio, Tableau.",,,,,,,,"{""icon"":""📊"",""order"":3,""featured"":false}"
UhtN6rPJaY2J3E22gNavfw,service,ro,Dashboard-uri personalizate,dashboards,"Construiesc dashboard-uri custom pentru modelul tău de business: Power BI, Looker Studio, Tableau.",,,,,,,,"{""icon"":""📊"",""order"":3,""featured"":false}"
UhtN6rPJaY2J3E22gNaw3U,service,ro,Consultanță și training,consulting,"Te ajut să înțelegi analytics-ul, să configurezi procesele sau să instruiești echipa în lucrul cu datele.",,,,,,,,"{""icon"":""📊"",""order"":4,""featured"":false}"
UhtN6rPJaY2J3E22gNawCu,service,ro,Analist part-time,parttime,Lucrez ca analistul tău pe bază de proiect sau câteva ore pe săptămână.,,,,,,,,"{""icon"":""📊"",""order"":5,""featured"":false}"
jtz4hoaXAenMcB4qySFv0S,service,ru,OmniDash — готовая аналитика для e-commerce,omnidash,"Реклама, продажи и расходы в одном дашборде. Видите не только выручку, но и реальную прибыль.",,,,,,,,"{""icon"":""📊"",""order"":0,""featured"":true}"
jtz4hoaXAenMcB4qySFv8m,service,ru,Дашборды на заказ,dashboards,"Собираю кастомные дашборды под вашу бизнес-модель: Power BI, Looker Studio, Tableau.",,,,,,,,"{""icon"":""📊"",""order"":3,""featured"":false}"
jtz4hoaXAenMcB4qySFvH6,service,ru,Консалтинг и обучение,consulting,"Помогаю разобраться в аналитике, настроить процессы или обучить команду работе с данными.",,,,,,,,"{""icon"":""📊"",""order"":4,""featured"":false}"
